"Year","Month","Day","Latitude","Longitude","Measurement","Unit","Density.Range","Density.Class"
"2009","05","10",32.37,-146.51,0,"pieces/m3","0-0.0005","Very Low"
"2008","05","20",19.24,-143.41,0,"pieces/m3","0-0.0005","Very Low"
"2011","03","07",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2005","12","15",21.15,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2006","05","15",28.54,-140.09,0,"pieces/m3","0-0.0005","Very Low"
"2011","05","12",31.06,-143.46,0.00216,"pieces/m3","0.0005-0.005","Low"
"2012","07","10",16.28,-160.37,0.055196,"pieces/m3","0.005-1","Medium"
"2012","02","23",19.43,-145.47,0.00432,"pieces/m3","0.0005-0.005","Low"
"2003","07","07",25.92,-156.96,0,"pieces/m3","0-0.0005","Very Low"
"2009","08","31",33.35,-150.87,0,"pieces/m3","0-0.0005","Very Low"
"2004","12","23",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2006","06","07",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2007","11","08",20.15,-147.77,0,"pieces/m3","0-0.0005","Very Low"
"2005","12","02",25.68,-143.09,0,"pieces/m3","0-0.0005","Very Low"
"2011","06","02",26.14,-143.12,0,"pieces/m3","0-0.0005","Very Low"
"2011","02","13",28.04,-140.48,0,"pieces/m3","0-0.0005","Very Low"
"2011","04","01",17.55,-158.31,0.011996,"pieces/m3","0.005-1","Medium"
"2004","11","18",19.95,-156.16,0,"pieces/m3","0-0.0005","Very Low"
"2012","04","22",33.1,-156.49,0,"pieces/m3","0-0.0005","Very Low"
"2002","04","19",19.81,-171.91,0.002228,"pieces/m3","0.0005-0.005","Low"
"2005","07","19",19.96,-146.64,0.00216,"pieces/m3","0.0005-0.005","Low"
"2005","07","17",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2011","10","05",32.76,-150.21,0,"pieces/m3","0-0.0005","Very Low"
"2002","05","17",32.57,-151.69,0.35128,"pieces/m3","0.005-1","Medium"
"2011","10","08",31.72,-144.77,0,"pieces/m3","0-0.0005","Very Low"
"2008","10","23",24.03,-138.44,0,"pieces/m3","0-0.0005","Very Low"
"2008","12","19",28.41,-140.21,0,"pieces/m3","0-0.0005","Very Low"
"2007","11","12",19.8499,-154.435,0.043713,"pieces/m3","0.005-1","Medium"
"2008","11","05",18.46,-157.58,0.0108,"pieces/m3","0.005-1","Medium"
"2008","01","21",19.2901,-156.0478,0.117848,"pieces/m3","0.005-1","Medium"
"2005","04","18",32.35,-155.1,0,"pieces/m3","0-0.0005","Very Low"
"2011","10","16",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2011","11","01",20.57,-154.86,0.0108,"pieces/m3","0.005-1","Medium"
"2005","07","09",24.52,-148.47,0,"pieces/m3","0-0.0005","Very Low"
"2009","03","07",18.46,-157.58,0.0108,"pieces/m3","0.005-1","Medium"
"2012","01","06",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2011","07","10",20.57,-154.86,0.0108,"pieces/m3","0.005-1","Medium"
